'id',name_he,name_en,calories,protein,fat,carbs
021ecd72-599f-4c8e-a27e-4a4788e79bea,"חלב מיובש דל שומן ,אבקה, ללא תוספת ויטמין A","Milk, cow, dry, whole, no added vitamin A",358,35.1,0.7,52.2
00bd7c0f-e260-41ed-9642-ce734bbe0173,"מי גבינה מיובשים, אבקה, DRIED WHEY","Milk, cow, dried whey",339,11.7,0.5,73.4
ee5980ae-05e1-4963-aeec-dacbcb48851e,"חלב מרוכז, ממותק, לא מדולל","Milk, cow, condensed, sweetened, undiluted",321,7.9,8.7,54.4
cab9e011-fdfe-45d0-bf13-91ed1a95479a,"יוגורט 4.5% שומן, תנובה","Yoghurt, cow milk, 4.5% fat, unflavored, Tnuva",68,3.3,4.5,3.5
f91497dd-e319-42f4-8841-4ba06f45861d,"יוגורט ביו 3% שומן, תנובה","Yoghurt, cow milk, bio, 3% fat, unflavored, Tnuva",65,4.4,3,4.6
baef239c-f38f-4265-bf3d-1ae3426b8970,"יוגורט, 1.5% שומן, רויון, תנובה","Buttermilk, cow, 1.5% fat, unflavored, Tnuva",48,3.6,1.5,4.3
1b5ddfcc-8eb1-4a24-87bd-6bf8c7731523,"יוגורט של פעם 3% שומן, השומרון","Yoghurt, cow milk, 4% fat, unflavored",71,4,3,7
b899bf5f-2e38-496c-82d2-0db0bc6ec9f9,"יוגורט 1.9% שומן  עם גרנולה ופירות ,פרילי טבע, תנובה","Yoghurt, cow milk, 3% fat, with granola and fruit, Prili, Teva/Tnuva",98,2.9,1.9,17.4
4971d62e-8dec-46e5-8c71-e1c88041ea78,"יוגורט ביו  3% שומן,דנונה, שטראוס","Yoghurt, cow milk, 3% fat, unflavored, with probiotics, Danona/Strauss",70,5.2,3,4.5
9cd8f37e-53fa-42c3-8588-66d265032fd5,"יוגורט ביו 3%, תות/אפרסק/שזיף/מנגו","Yoghurt, cow milk, 3% fat, fruit flavored, with probiotics",115,3.8,3,18.2
fac5dea3-19b5-47eb-bf5c-0648d017e298,"יוגורט פרי דיאט 0% שומן, פירות יער, דובדבן, מיקס פירות טרופי ","Yoghurt, cow milk, 0% fat, cherry/tropical fruit flavored",40,4.8,0,4.9
08b9892c-62d9-4588-8e7d-da8503b71962,"יוגורט ביו 1.5% שומן,דנונה, שטראוס","Yoghurt, cow milk, 1.5% fat, unflavored, with probiotics, Danona/Strauss",53,4.9,1.5,5
ff7db53e-f1f8-4c2c-bc90-c6fa26c50910,"יוגורט, אקטיביה דיאט 0% שומן טבעי, פטל אוכמניות, שזיף מיובש","Yoghurt, cow milk, 0% fat, unflavored, Activia, with probiotics, Strauss",37,4.2,0,5
d60a6b18-f7db-4b65-b698-209f20f0abde,"יוגורט 1.5% שומן, אקטיביה, בטעם שזיף מיובש/פרי יבש/תות/אפרסק/פטל/גרנולה, דנונה","Yoghurt, cow milk, 1.5% fat, flavored, with granola, Danona",93,3.7,1.5,16
8bd272e7-c736-4b8a-b080-a79f930b6a1c,"יוגורט 0% שומן, יופלה, טבעי, תנובה","Yoghurt, cow milk, 0% fat, unflavored, Tnuva",37,5.5,0,3.7
65ef1761-4746-4901-bbbd-4f553e0bfd7e,"יוגורט לשתייה עם מלפפונים ,ציזיקי  3.5% שומן, גד","Yoghurt drink, cow milk, 3.5% fat, Ziziki, with cucumbers, Gad",61,2.9,3.5,4.5
5fb1e69c-ffe9-419b-b1c1-145beaea7bee,"יוגורט 5% שומן, מחלב בופאלו","Yoghurt, buffalo milk, 5% fat",78,3.8,5,4
82a95dc4-387a-4c54-a5c9-4516683c3504,"משקה יוגורט 0% שומן אקטימל דיאט,שטראוס","Yoghurt drink, cow milk, 0% fat, Actimel, Strauss",34,2.9,0.2,5.1
682fb958-9419-410b-b723-ec0f06709b5a,יוגורט 3% שומן תנובה,"Yoghurt, cow milk, 3% fat, unflavored, Tnuva",65,4.7,3,4.7
b888f317-8462-4cec-ab4c-7d89ee924742,"משקה יוגורט 1.8% שומן, בטעמים, אקטימל, שטראוס","Yoghurt drink, cow milk, 1.8% fat, flavored, Actimel, Strauss",96,2.9,1.8,17
432e1256-2d50-4375-81d8-0bda503fee8a,"יוגורט, דנונה דיאט 0% קפוצ'ינו, תות, אננס, אפרסק, דובדבן , משמש, רום צימוקים, מנגו , פטל","Yoghurt, cow milk, 0% fat, fruit flavored, Danone, Strauss",38,3.9,0,5.5
e3d3da7c-a380-461f-8d03-b04fe15d5bb1,"יוגורט 3.9% שומן, מחלב עזים, צוריאל","Yoghurt, goat milk, 3% fat, unflavored, Tzuriel",75,3.5,3.9,6.3
d6771aa1-7e74-41ca-9722-755dc042da22,"משקה יוגורט ביו 0%, תות, אננס,טרה","Yoghurt drink, Bio, cow milk, 0% fat, fruit-flavored, Tara",40,3.2,0.1,6.5
2efb0633-f4b0-40a9-a793-04e9a1cc5581,"משקה יוגורט ביו 1.5%, תות/מנגו/ בננה/תפוז,טרה","Yoghurt drink, cow milk, 1.5% fat, fruit flavored, Tara",94,3.1,1.5,17.2
23969630-0278-48ef-89da-e95cba21e7a3,"יוגורט יופלה, 2.7% שומן עם גרנולה, תנובה","Yoghurt, cow milk, 1.5% fat, with granola, Tnuva",104,5.6,2.7,13.5
f33dd95b-a908-4323-be63-b15b1bc13ed9,"יוגורט 1.7% שומן, מולר","Yoghurt, cow milk, 1.7% fat, Mueller",63,5.4,1.7,6.5
36d8e070-a7ed-4b96-8fa2-a626d4d801d0,"יוגורט 7%,תנובה","Yoghurt, cow milk, 7% fat, Tnuva",91,3.6,7,3.5
a9734771-53d4-4a53-a2c8-c55c55003daa,"לבן 4.5% שומן, אשל,תנובה","Leben, 4.5% fat, unflavored, Eshel, Tnuva",71,3.3,4.5,4.2
c1aa3f21-83dc-4671-b070-7493f7e6baa0,"יוגורט 4%  שומן, דנובה, תנובה","Yoghurt, cow milk, 4.5% fat, unflavored, Danona, Tnuva",71,3.6,4,5
f8139fc2-41d9-435b-b4f3-829e893e9cce,"יוגורט 3% שומן, אקטיביה, טבעי","Yoghurt, cow milk, 3% fat, unflavored, Activia, Strauss",62,4.5,3,4.3
c7b65036-5a58-4afd-8910-1793ff70a645,"יוגורט 3% שומן, בטעם פאי תפוחים/תות בננה/בננה ואגוזים, שטראוס","Yoghurt, cow milk, 3% fat, apple/banana fruit flavored, Strauss",112,4,3,16.7
aeef3719-a238-4232-bd10-0d1596c5264f,"יוגורט 3% שומן, איירן , גד","Yoghurt, cow milk, 3% fat, unflavored, Gad",55,3,3,4
bcc93b47-6675-41b7-8a0f-845c03209295,"יוגורט 3% שומן, בטעמי פרי,שטראוס","Yoghurt, cow milk, 3% fat, fruit flavored, Strauss",109,3.6,3,16.9
362c67c3-df7e-4628-b7c3-189459946fab,"מעדן, גמדים, 5% שומן, גבינה לבנה עם מחית בננה, תות או משמש","Yoghurt, cow milk, 3% fat,with fruit, Strauss",105,5.6,5,9.9
b97c7db5-484e-43c4-be23-5d4b10558e42,"לבן 3% שומן, גיל,טרה, תנובה","Leben, 3% fat, Gil, Tara/Tnuva",56,3,3,3.8
b61b7353-371c-4a5f-a610-08ccdc8c18a2,לבן מבושל,"Leben, cooked",41,2.2,2.6,2.2
d735f5f7-d842-4272-b4ad-61380801a9c0,"יוגורט 4% שומן עם קורנפלקס מצופה שוקולד, מולר מיקס, מולר","Yoghurt, cow milk, 1.5% fat, fruit flavored with chocolate-coated cereal/nuts, Mueller Mix",119,4.6,4,16.2
4f139679-a51a-4bbe-b941-3a9563eceac0,לבן מבושל עם בצל,"Leben, cooked with onion",43,2.1,2.2,3.6
ded5dafd-4303-4250-b7ba-f9df716af83e,"יוגורט עזים מלא 4% שומן, הרדוף","Yoghurt drink, goat milk, 3.8% fat, Harduf",65,3.6,3.5,3.7
3a59f152-33cb-4475-ad52-230d1f6de9c0,"יוגורט אקטיביה 1.5%, שטראוס","Yoghurt, cow milk, 1.5% fat, Activia, Strauss",48,4.5,1.5,4.2
939cbc67-26f9-4659-ae95-786ae4c39808,"לבן בטעם אפרסק/תות 3% שומן, יטבתה","Leben, 3% fat, sweetened, flavored, Yotvata",87,2.9,3,12.6
80ab500a-cfb3-4f06-b93c-1d46b54ee940,"יוגורט מתוק, דיאט 0% שומן, יופלה, טעמים שונים, תנובה","Yoghurt, cow milk, 0% fat, various flavors, artificially sweetened, Tnuva",39,4.4,0,4.4
59de151e-1ded-4a0e-a5a9-96a07c86cdaa,"יוגורט, יופלה שטוזים גבינה מוקצפת 5% שומן, טעמים שונים,תנובה","Yoghurt, cow milk, 5% fat, whipped, various flavors, Tnuva",125,4.5,5,15.6
bb3024f9-7c65-43c9-b30f-d19f170f6866,"יוגורט ביופרו 0% שומן, שטראוס","Yoghurt, cow milk, 0% fat, unflavored,with probiotics, Strauss",40,4.8,0.2,4.8
b69cf97f-57f5-4706-99bd-72ce20f6b5ab,"יוגורט מתוק 3% שומן, טעמים שונים ,יופלה , תנובה","Yoghurt, cow milk, 3% fat, various flavors, Tnuva",109,4,3,15.3
bcfbcdad-14cd-47c9-ad4b-c75dcbdc70f1,"יוגורט יופלה לבן, 1.5% שומן, תנובה","Yoghurt, cow milk, 1.5% fat, unflavored, Tnuva",49,5.1,1.5,3.7
a6d57a07-ca4e-4bb1-a72f-f24b85fede08,"יוגורט יופלה לבן, 1.5% שומן, במתיקות מעודנת, תנובה","Yoghurt, cow milk, 1.5% fat, lightly sweetened, unflavored, Tnuva",75,4.9,1.5,10
831cfbe1-ed35-48d7-b47a-5bb8428c4e38,"יוגורט 3% שומן, מעודן , כולל שלי קלסיק/ יופלה, תנובה","Yoghurt, cow milk, 3% fat, flavored and lightly sweetened, Tnuva",64,5.3,3,4
598ef643-ccba-4ba4-a0b7-d83e9d07b353,"יוגורט מתוק 1.5% שומן, פרילי, פריגורה,  תנובה","Yoghurt, cow milk, 1.5% fat, fruit flavored,sweetened, Prili, Prigura, Tnuva ",103,3,1.5,19.5
d4c6912f-8cb1-4308-be76-305f144e6e6e,"לאבנה 9% שומן, מחלב בקר, פיראוס, תנובה","Labane, cow milk, 9% fat, Piraeus, Tnuva",127,8,9,3.5
f826488a-102d-4c20-b37a-dca0a5ec2ca6,"לאבנה ביתית, חלב בקר, 9% שומן","Labane, cow milk, 9% fat, homemade",135,6.5,8.9,6.9
94bae215-8939-4524-8756-ec3175b4ccb0,"לאבנה מחלב עזים 5% שומן, גד","Labane, sheep milk, 5% fat, Gad",91,9.5,5,2
0f7ce968-0979-44a3-ab66-b57cf6062295,"לאבנה מחלב בקר 5% שומן, עם שמן זית /זעתר,גד","Labane, cow milk, 5% fat, in olive oil and hyssop, Gad",166,9,11,7.8
65d64379-8a2f-401f-a183-81f63ba94cba,"לאבנה 9% שומן, מחלב בופאלו, כדורים בשמן זית","Labane, buffalo milk, 9% fat, balls, in olive oil",121,8.9,9,1.1
f94ac8b1-21e8-4752-b110-0b227f9afe18,"יוגורט מתוק 3% שומן, בתוספת בר גרנולה/קורנפלקס,שטראוס","Yoghurt, cow milk, 3% fat, with cereal, Strauss",127,4.8,4.6,16.4
c12de8b9-789a-4616-9419-8ca07d2b9f1a,"גלידת יוגורט, קפוא, טעמים שונים, בן & ג'ריס","Yoghurt, frozen, cow milk, various flavors, Ben and Jerry's",190,5.8,6.4,33.2
26c53e44-7fdd-4575-8f0c-0a68f03a9839,"משקה יוגורט, 1.5% שומן, בטעם פירות, דנונה, שטראוס","Milk drink, 1.5% fat, fruit flavor, Danona/Strauss",82,2.5,1.5,14.6
e3b45f12-3239-4738-aa15-85aee7a4dd56,"משקה חלב 2% שומן, אייס קפה/מוקה, יטבתה, תנובה","Milk drink, 2% fat, mocha flavored, Yotvata, Tnuva",72,2.8,2,11.1
346ba9ff-2203-4e7b-8833-11c608fdd923,"משקה חלב 0% שומן, שוקו דיאט, יטבתה","Milk drink, 0% fat, chocolate flavored, energy-reduced, Yotvata",39,3.6,0,5.3
5bce6283-beaa-4761-8e3b-fe34e77d51f1,"משקה חלב 1.5% שומן, שוקו, יטבתה","Milk drink, 1.5% fat, chocolate, Yotvata",53,3.1,1.5,7.2
ee6084bd-080d-4dc3-aed2-ca35835793d3,"משקה חלב 0% שומן, דיאט ,שוקו ,תנובה","Milk drink, 0% fat, energy-reduced, chocolate, Tnuva",45,3.2,0.5,7.8
ecace1cf-aa79-4805-975b-8839440f2c39,"משקה חלב בטעם בננה, 2% שומן ,תנובה,יטבתה","Milk drink, 3% fat, caramel flavor, Tnuva/Yotvata",79,2.6,3,10.5
c9fce170-5cd4-4fae-bf58-b7aafc81c866,"משקה חלב בטעם וניל,3% שומן, מועשר בסידן ויטמן D,תנובה","Milk drink, 3% fat, vanilla, added calcium and vitamin D, Tnuva",72,3.2,3,7.5
551c6089-6790-43ec-8e7d-7930222cb855,מילקשייק פירות על בסיס חלב 3% שומן,"Milkshake, fruit, with 3% fat milk",63,1.9,1.6,9.6
6d5d2ae3-007a-425c-8998-88e9e4abfc1e,"משקה חלב, שוקו 2% שומן, תנובה","Milk drink, 2% fat, chocolate, Tnuva",50,3.1,1.7,5
5985bc49-c7d9-42fa-b585-9575889b7c0a,"משקה חלב 2% שומן, מילקשייק, טעמים שונים, יטבתה","Milkshake, 2% fat, various flavors, Yotvata",85,3,2,13.7
560de96a-6abd-4312-9da1-a2bb8a590b77,"מילקשייק וניל/תות/שוקו, מקדונלדס","Milkshake, vanilla/strawberry/chocolate, McDonald's",109,3.1,1.8,17
b8c03351-9683-4da1-ae05-1a5bfd4751dc,"תוסף לארוחה, משקה עתיר קלוריות וחלבון, EASY DRINK, איזיליין","Meal supplement, EASYDRINK, drink, energy and protein enriched, Easyline",138,5.1,4.5,19.3
93344098-9b59-4bdc-bd0b-e3b02ae75540,"תמ""י, תחליף לארוחה, נוזלי, בתוספת סיבים, EASY FIBER, איזיליין","Medical formula, EASYFIBER, liquid, with added fiber, Easyline",110,4.4,3.5,15.1
c9ac358c-0dd5-43cd-a74a-01aadf27cd9a,"תמ""י, תחליף לארוחה נוזלי,JEVITY","Medical formula, JEVITY, liquid",106,4.4,3.5,15.4
94aee116-6b2e-4a66-9b02-b71644711b1c,"תמ""י, תחליף לארוחה נוזלי,OSMOLITE","Medical formula, OSMOLITE, liquid",106,4.5,3.5,14.4
b848ec8e-e40a-46fb-850d-72c40cbbf8d4,"תמ""י, תחליף לארוחה נוזלי,PULMOCARE","Medical formula, PULMOCARE, liquid",150,6.3,9.4,10.5
94533fc8-4263-466c-b85c-706c282d70b3,"תמ""י, תחליף לארוחה נוזלי,OXEPA","Medical formula, OXEPA, liquid",150,6.3,9.4,10.5
f5521f33-c14d-4c1e-8348-63e42fd9a716,תחליף לארוחה נוזלית NEPRO LP,"Medical formula, NEPRO LP, liquid ",182,4.5,9.7,18.5
9d5b7f29-3ba5-4c1d-93e3-e16f62a6afb9,"תמ""י, תחליף לארוחה נוזלי,GLUCERNA","Medical formula, GLUCERNA, liquid ",100,4.2,5.4,9.6
03902ff5-26d7-4ca7-b697-cc96d4fd50b5,"תמ""י, תחליף לארוחה נוזלי,PERATIVE","Medical formula, PERATIVE, liquid ",130,6.8,3.8,17.7
b5466743-426e-489e-9bc6-032a1a3d6828,"תמ""י, תחליף לארוחה נוזלי, ALITRAQ","Medical formula, ALITRAQ, liquid ",100,5.3,1.5,16.4
0e44ceb6-a2d9-4282-bb43-53487dd28f2f,"תמ""י, תחליף נוזלי לארוחה  ,NUTREN 2.0, מגאפארם","Medical formula, NUTREN 2, liquid, Megapharm",200,8,10.4,19.6
99c0caf1-0e7c-4724-bd82-422a8df5761f,"תמ""ל, אנפמיל 1 AR , ANTIREFLUX ,מוכן,  Mead Johnson","Infant formula, ENFAMIL, ANTI REFLUX AR, Pharmabest",69,1.7,3.5,7.6
c5ea5a9a-4733-4319-bd14-3410906fc1d8,"תמ""ל, Extracare sensitive, לפגים,מטרנה, מוכן עם מים","Infant formula, EXTRACARESENSITIVE, prepared with water, for premature infants, Materna",74,1.9,4,7.6
6930faeb-53fb-4314-bb40-c33de8461a83,"תמ""י,תחליף לארוחה נוזלי, PEDIASURE, אבוט","Infant formula, PEDIASURE, liquid, , Abbott",100,2.8,5,11
fd70acfc-415d-4ef4-9168-68716f175c7b,"תמ""ל, איזומיל, סימילאק, מוכן","Infant formula, ISOMIL, liquid, Similac",68,1.7,3.7,7
81de39fb-187c-4d6f-bc1e-cdd543137b15,"תמ""ל, מטרנה צמחית, עד גיל שנה, מוכן","Infant formula, non-dairy, to age 1, prepared with water, Materna",68,1.9,3.4,7.5
18e7e890-588f-4104-acc8-d20cf1614817,"תמ""ל, מטרנה מהדרין ספיישל, דל לקטוז, מוכן","Infant formula, mehadrin special, low lactose, ready to eat, Materna",67,1.6,3.5,7.3
05aee26c-95a9-41be-8c21-281c1b4e14d4,"תמ""ל, מטרנה לילה טוב, אבקה ","Infant formula, GOOD NIGHT, powder, Materna",506,11,25.3,58.5
15a09e4f-d637-47c2-96d3-8b0e1612e2c2,"תמ""ל, מטרנה לילה טוב, בהכנה סמיכה","Infant formula, GOOD NIGHT, thick consistency, Materna",67,1.5,3.3,7.7
33ce9532-8ae3-4ce3-aa2c-6f17fd4cfa84,"תמ""ל, חלבי שלב 1, כולל מהדרין, אבקה, מטרנה","Infant formula, dairy, Stage 1, powder, Materna",512,11,26.5,58
d85fc9d5-c854-424a-8227-92658c83a37b,"תמ""ל, חלבי שלב 2, כולל מהדרין, אבקה, מטרנה","Infant formula, dairy, Stage 2, powder, Materna",504,11.5,26.5,57
366228f7-1632-4c29-8764-53776ffcd699,"תמ""ל, חלבי שלב 3, כולל מהדרין , אבקה, מטרנה","Infant formula, dairy, Stage 3, powder, Materna",481,12,21,61
40cb9b64-afe3-4347-af76-74c80d35dd05,"תמ""ל, מטרנה צמחית עד גיל שנה, אבקה","Infant formula, non-dairy, from age 1, ready to drink, Materna",505,14,25,56
6bc370b9-e486-457f-946a-d63b1630d94b,"תמ""ל, מטרנה צמחית, מגיל שנה ואילך, מוכן","Infant formula, non-dairy, stage 1, powder, Materna",68,1.8,3.2,8
4cf05ad7-f2cf-4426-8323-f39948e0fe95,"תמ""ל, מטרנה צמחית, מגיל שנה ואילך, אבקה","Infant formula, non-dairy, stage 1, ready to drink, Materna",489,13,23,58
7cf3430d-93ea-4f02-a87a-b46d6dc9e752,"תמ""י, PHENYLFREE 2, נוזלי, פרמהבסט","Medical formula, PHENYLFREE, liquid, Pharmabest",85,4.6,1.8,12.4
2287d8cd-21b1-428d-af65-f05fbb0ac76f,"תמ""י, MSUD  רגיל","Medical formula, MSUD, liquid ",68,1.4,2.8,9.1
61c67434-a543-4a69-a854-e047ce8efcca,"תמ""י, MSUD מרוכז","Medical formula, MSUD concentrate",81,1.7,3.4,10.9
a5ad752c-b640-4245-8fcc-d74f7d6dd543,"תמ""י, GALACTOMIN 19, אבקה, מגאפארם","Medical formula, GALACTOMIN, powder, Megapharm",514,10.3,27.2,57.1
ef8a41cc-208d-4454-a847-da30aac7933c,"תמ""ל, ליפיל  NUTRAMIGEN 1 LGG, מוכן, פרמהבסט","Infant formula, NUTRAMIGEN 1LGG, ready to drink, Pharmabest",68,1.9,3.4,7.5
e1896a5f-8cbc-4fdd-8b57-2dce8f5f2091,"תמ""ל,  PREGESTIMIL LIPIL, נוזלי, פרמהבסט","Infant formula, PREGESTIMIL LIPIL, liquid, Pharmabest",68,1.9,3.8,6.9
f565fd9e-e824-4b30-a249-fde1120400da,"תמ""י,תחליף לארוחה נוזלי,NEOCATE ADVANCE","Medical formula, NEOCATE ADVANCE, liquid meal substitute ",100,2.5,3.5,14.6
98c93665-9a3d-41b9-9cf4-a1628991336f,"תמ""ל, סימילאק טופ 1, מוכן, כולל מהדרין","Infant formula, TOP 1, ready to drink, Similac",68,1.4,3.7,7.4
7e61c911-514c-42ee-b6d6-1b51ee7337c0,"תמ""ל, סימילאק טופ 2/טופ 3, מוכן","Infant formula, SIMILAC TOP 2/3, liquid",74,2.8,3.6,7.5
0b1c2318-5e3c-4155-a865-f4e8920ba751,"תמ""ל, סימילאק NEOSURE, מוכן","Infant formula, NEOSURE, liquid, Similac",74,1.9,4.1,7.7
e2f50155-ba32-4674-bbb2-507ccab6103c,"תמ""י,NUTREN JUNIOR, תחליף נוזלי לארוחה, מגאפארם","Medical formula, NUTREN JUNIOR, liquid meal substitute, Megapharm",100,3,5,11
c7bd743d-c713-49de-bde9-43350a98f5b5,"תמ""י, NUTREN JUNIOR WITH FIBER, נוזלי, מגאפרם","Medical formula, NUTREN JUNIOR WITH FIBER, liquid, Megapharm",100,3,5,11
d055ff63-fbbe-47bb-bb36-23a9ce71f093,"תמ""י,PEPTAMEN JUNIOR, תחליף נוזלי לארוחה, מגאפארם","Medical formula, PEPTAMEN JUNIOR , liquid meal substitute, Megapharm",100,3,3.8,13.6
15c27855-0aef-4665-b015-a98f41e51481,"תמ""י, PEPTAMEN, תחליף נוזלי לארוחה, וניל, מגאפארם","Medical formula, PEPTAMEN, liquid meal substitute, vanilla, Megapharm",100,4,3.9,12.7
bd594e90-29b6-470b-985f-57f4fdf2e96e,"חלב מיובש, מלא, אבקה","Milk, dry, whole, not reconstituted",496,26.3,26.7,38.4
ced3e566-2c15-4dc5-860e-9b0c4b3229ce,"שוקו, אבקה יבשה עם סוכר וחלב מיובש","Cocoa (or chocolate) with dry milk and sugar, dry mix ",398,6.7,4,80
bc69afb4-8fa3-436f-8f78-d5da55fb5a32,"שוקו, אבקה ממותקת להכנת משקה שוקולית, עלית","Cocoa drink mix, powder, sweetened, Elite",400,4.5,2.5,90
7d39ff59-b3a6-4284-b482-91938de119d8,"קקאו, אבקה עם ממתיק דל קלוריות וחלב כחוש מיובש","Cocoa with nonfat milk and low calorie sweetener, powder",377,15.5,3,64.4
01ff6f22-0366-408e-bf50-c620dae9d56c,שוקו ממכונה,"Cocoa drink, from dispensing machine",32,1.1,1,4.6
8d8fb37a-0a0f-4a50-9a9e-fcdac00db8e8,"קקאו, אבקה, ללא חלב מיובש","Cocoa, powder ",228,19.6,13.7,24.7
977d3b36-2260-4d86-bfc4-648540428c02,"שוקו, אבקה עם סוכר להכנת משקה בטעם קקאו","Cocoa (or chocolate) flavored beverage  with sugar, powder",402,3.9,2.7,86
935a6c88-ea7b-41a8-bf90-cb4357c1fa8b,"שוקו, אבקה עם ממתיק ללא קלוריות, בטעם קקאו או שוקו","Cocoa (or chocolate) flavored beverage with low calorie sweetener, powder",377,15.5,3,71.9
ce4d7bea-40e1-4bc0-b030-3fbdbc4d44d8,"קקאו, אבקה לא ממותקת, 10% שומן, סגנון אירופאי","Cocoa, powder, 10% fat, not sweetened",410,20,10,40
9b7c69a9-565e-4abe-a194-f8ce7e5352e2,"תוסף חלבון, אבקה, כולל MERITENE","Protein supplement, powder, milk-based, not reconstituted, including MERITENE",355,31,1,56
9dd2121b-9016-49a7-8e96-78758cc56b53,"תוסף לארוחה, EASY SHAKE, אבקה, איזיליין","Meal supplement, EASYSHAKE, powder, Easyline",509,22,25,49
9d085f8f-23f9-4399-8495-a9645b1429f6,"תמ""י,תחליף לארוחה, EASYMEAL-K2, נוזלי, איזיליין","Medical food, EASYMEAL-k 2, liquid, Easyline",200,7.2,8,25
ed1d6968-e7d4-4799-817a-0178439aeb54,"תוסף לארוחה, EASY THICKENER, נוזלי, איזיליין","Meal supplement, EASYTHICKENER, liquid, Easyline",320,0,0,93
7f801ba9-b981-4b1e-a702-27ae4786eee2,"תוסף חלבון, EASY WHEY, אבקה, איזיליין ","Protein supplement, EASYWHEY, powder, Easyline",393,75,4.5,15
0a9bf2f4-bad7-4708-8cb6-f7a22e2820bc,"תוסף לארוחה, עתיר קלוריות, אבקה, EASY CALORIE, איזיליין","Meal supplement, EASYCALORIE, powder, high energy, Easyline",380,0,0,95
2d958ea9-5100-4211-8598-69cd26c56f50,"שמנת לבישול 15% שומן, תנובה","Cream, 15% fat, for cooking, Tnuva",161,2.3,15,4.2
4b85d622-b5fc-4ee7-8f8d-412f803441fe,"שמנת מתוקה 38% שומן, לקצפת, כולל עמידה,תנובה, יטבתה, טרה","Cream, 38% fat, for whipping, including UHT, Tnuva/Yotvata/Tara",360,1.9,38,3
b83122b8-8ad7-44c3-86f4-040b185bcc76,"קצפת 38%  שומן, ממותקת, מוכנה","Cream, whipped, 38% fat, sweetened",366,1.5,30.4,22.4
e838fbaf-bf1a-4869-a01a-fba965633938,"שמנת מתוקה 32% שומן, לקצפת, השף הלבן,תנובה","Cream, 32% fat, for whipping, ChefHalavan/Tnuva",324,1.9,32,3.2
fff4ffa0-4a6a-4e0a-8b3c-a985e5cfda15,"תחליף שמנת קל 3.5%  שומן, נוזלי, לקפה, כולל ריצ'","Cream substitute, light, 3.5% fat, liquid",71,0.8,3.5,9.1
acd55c8c-7b85-47db-adb4-2cdf21ead2c2,"קצפת צמחית 25%  שומן, ריצ'","Cream substitute, non-dairy, 25% fat, for whipping, Rich's",301,0.4,25,19
2bb2aed8-dcee-47ad-ac3a-283a8ce6c0d2,"מלבין קפה באבקה, ללא חלב, כולל CREMORA.COFFEEMATE","Cream substitute, powdered",545,4.8,35.5,54.9
80411564-9e5d-491c-8381-687cdf9b2e05,"מלבין קפה, חלבית, עלית","Coffee whitener, dairy, Elite",543,0.7,31,66
